pcap,window_start,src,dst,flows_total,unique_dst_ports,syn_count,rst_count
benign.pcap,1769178035.0,17.248.214.12,192.168.1.63,1,1,2,0
benign.pcap,1769178035.0,17.253.38.35,192.168.1.63,4,4,0,0
benign.pcap,1769178035.0,17.253.38.43,192.168.1.63,1,1,0,0
benign.pcap,1769178035.0,17.253.39.131,192.168.1.63,1,1,2,3
benign.pcap,1769178035.0,17.253.52.125,192.168.1.63,4,4,0,0
benign.pcap,1769178035.0,17.57.146.135,192.168.1.63,1,1,0,0
benign.pcap,1769178035.0,172.217.19.234,192.168.1.63,1,1,0,0
benign.pcap,1769178035.0,172.66.149.233,192.168.1.63,1,1,2,1
benign.pcap,1769178035.0,178.248.235.49,192.168.1.63,3,3,6,0
benign.pcap,1769178035.0,178.248.239.227,192.168.1.63,12,12,24,4
benign.pcap,1769178035.0,185.15.175.147,192.168.1.63,1,1,2,0
benign.pcap,1769178035.0,185.211.245.131,192.168.1.63,1,1,2,2
benign.pcap,1769178035.0,192.168.1.1,192.168.1.63,1,1,0,0
benign.pcap,1769178035.0,192.168.1.63,213.180.193.226,1,1,2,1
benign.pcap,1769178035.0,192.168.1.63,216.239.34.223,1,1,0,0
benign.pcap,1769178035.0,192.168.1.63,216.239.38.223,2,1,2,0
benign.pcap,1769178035.0,192.168.1.63,224.0.0.251,1,1,0,0
benign.pcap,1769178035.0,192.168.1.63,51.250.28.231,4,1,8,3
benign.pcap,1769178040.0,17.253.38.43,192.168.1.63,3,3,0,0
benign.pcap,1769178040.0,178.248.234.141,192.168.1.63,1,1,2,1
benign.pcap,1769178040.0,178.248.235.49,192.168.1.63,2,2,4,0
benign.pcap,1769178040.0,178.248.239.227,192.168.1.63,3,3,6,2
benign.pcap,1769178040.0,192.168.1.1,192.168.1.255,2,2,0,0
benign.pcap,1769178040.0,192.168.1.63,51.250.28.231,6,1,12,6
benign.pcap,1769178045.0,142.250.185.131,192.168.1.135,1,1,3,0
benign.pcap,1769178045.0,192.168.1.1,192.168.1.135,1,1,0,0
benign.pcap,1769178050.0,17.252.28.102,192.168.1.63,2,2,2,2
benign.pcap,1769178050.0,17.253.39.136,192.168.1.63,2,2,4,0
benign.pcap,1769178050.0,172.217.19.238,192.168.1.63,2,2,2,0
benign.pcap,1769178050.0,192.168.1.1,224.0.0.187,1,1,0,0
benign.pcap,1769178050.0,192.168.1.63,23.215.2.141,1,1,2,2
benign.pcap,1769178050.0,192.168.1.63,23.215.2.179,1,1,2,2
benign.pcap,1769178055.0,116.202.233.126,192.168.1.135,1,1,0,0
benign.pcap,1769178055.0,192.168.1.135,64.233.162.188,1,1,0,0
benign.pcap,1769178060.0,116.202.233.126,192.168.1.135,1,1,0,0
benign.pcap,1769178060.0,142.250.185.131,192.168.1.135,1,1,3,0
benign.pcap,1769178060.0,17.32.214.169,192.168.1.63,1,1,2,0
benign.pcap,1769178060.0,178.248.239.227,192.168.1.63,1,1,2,0
benign.pcap,1769178060.0,192.168.1.63,2.17.251.184,1,1,2,0
benign.pcap,1769178060.0,192.168.1.63,216.58.207.238,2,1,2,1
benign.pcap,1769178060.0,192.168.1.63,8.6.112.6,1,1,2,1
benign.pcap,1769178065.0,17.156.128.11,192.168.1.63,1,1,2,2
benign.pcap,1769178065.0,192.168.1.135,239.255.255.250,1,1,0,0
benign.pcap,1769178065.0,192.168.1.63,51.250.28.231,1,1,0,1
benign.pcap,1769178065.0,192.168.1.63,95.161.252.16,1,1,2,0
benign.pcap,1769178070.0,142.250.74.142,192.168.1.135,1,1,0,0
benign.pcap,1769178070.0,192.168.1.135,52.123.128.14,1,1,0,1
benign.pcap,1769178070.0,192.168.1.135,77.88.21.119,1,1,0,0
benign.pcap,1769178070.0,192.168.1.77,64.233.167.188,1,1,0,0
benign.pcap,1769178075.0,142.250.185.131,192.168.1.135,1,1,3,0
benign.pcap,1769178075.0,192.168.1.135,45.139.239.54,1,1,0,0
benign.pcap,1769178080.0,142.250.74.142,192.168.1.135,1,1,0,0
benign.pcap,1769178080.0,17.253.39.136,192.168.1.63,2,2,0,0
benign.pcap,1769178080.0,192.168.1.135,199.232.214.172,1,1,0,0
benign.pcap,1769178080.0,192.168.1.135,23.209.209.135,1,1,0,0
benign.pcap,1769178080.0,192.168.1.63,95.161.252.16,1,1,4,3
benign.pcap,1769178085.0,17.248.214.67,192.168.1.63,3,3,6,4
benign.pcap,1769178085.0,192.168.1.135,45.95.201.54,1,1,0,0
benign.pcap,1769178090.0,17.32.214.169,192.168.1.63,1,1,0,3
benign.pcap,1769178095.0,162.159.200.1,192.168.1.135,1,1,0,0
benign.pcap,1769178095.0,192.168.1.1,192.168.1.135,1,1,0,0
benign.pcap,1769178095.0,192.168.1.135,89.42.231.152,1,1,0,1
benign.pcap,1769178100.0,162.159.61.5,192.168.1.135,1,1,0,0
benign.pcap,1769178100.0,192.168.1.1,192.168.1.135,2,2,0,0
benign.pcap,1769178100.0,192.168.1.135,216.58.207.206,1,1,0,0
benign.pcap,1769178100.0,192.168.1.135,64.233.162.188,1,1,0,0
benign.pcap,1769178105.0,192.168.1.1,192.168.1.135,1,1,0,0
