pcap,window_start,src,flows_total,pkts_out,pkts_in,bytes_out,bytes_in,tcp_flows,udp_flows,unique_dst_ports,unique_dst_ips,mean_flow_duration,p95_flow_duration,mean_packets_per_flow,p95_packets_per_flow,syn_count,rst_count,entropy_dst_port,entropy_dst_ip,rst_per_syn,label
benign.pcap,1769177682.0,185.26.182.94,2,27,21,22139,6508,2,0,2,1,11.604117393493652,21.873222184181213,24.0,33.0,4,0,1.0,-0.0,0.0,0
benign.pcap,1769177682.0,192.168.1.1,2,2,2,273,168,0,2,2,1,0.07763040065765381,0.07817617654800416,2.0,2.0,0,0,1.0,-0.0,0.0,0
benign.pcap,1769177682.0,192.168.1.77,1,3,4,222,228,1,0,1,1,0.33065009117126465,0.33065009117126465,7.0,7.0,0,3,-0.0,-0.0,3.0,0
benign.pcap,1769177688.0,172.64.41.5,1,12,11,6707,5523,0,1,1,1,0.10933899879455566,0.10933899879455566,23.0,23.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177688.0,192.168.1.1,3,3,3,415,262,0,3,3,1,0.025147755940755207,0.0666069746017456,2.0,2.0,0,0,1.584962500721156,-0.0,0.0,0
benign.pcap,1769177688.0,192.168.1.130,1,1,0,451,0,0,1,1,1,0.0,0.0,1.0,1.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177688.0,192.168.1.135,2,12,12,3383,1219,2,0,1,2,26.66822111606598,32.432897579669955,12.0,18.3,2,2,-0.0,1.0,0.6666666666666666,0
benign.pcap,1769177688.0,192.168.1.77,2,7,5,1203,1545,2,0,2,2,0.09143459796905518,0.17372573614120482,6.0,10.5,2,1,1.0,1.0,0.3333333333333333,0
benign.pcap,1769177697.0,192.168.1.135,1,1,1,60,78,1,0,1,1,0.03737306594848633,0.03737306594848633,2.0,2.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177706.0,192.168.1.135,1,2,3,161,241,1,0,1,1,8.988219022750854,8.988219022750854,5.0,5.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177709.0,192.168.1.135,3,13,8,2565,1469,2,1,2,2,1.1219053268432617,2.7665131092071533,7.0,12.1,2,0,0.9182958340544896,0.9182958340544896,0.0,0
benign.pcap,1769177712.0,192.168.1.135,1,1,1,60,78,1,0,1,1,0.024353981018066406,0.024353981018066406,2.0,2.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177721.0,142.250.74.14,1,14,14,4895,9650,0,1,1,1,0.14564299583435059,0.14564299583435059,28.0,28.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177721.0,172.64.41.5,1,12,11,6707,5525,0,1,1,1,0.11030411720275879,0.11030411720275879,23.0,23.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177721.0,192.168.1.135,1,7,8,2864,924,1,0,1,1,30.209890842437744,30.209890842437744,15.0,15.0,2,0,-0.0,-0.0,0.0,0
benign.pcap,1769177727.0,185.26.182.94,1,4,3,288,192,1,0,1,1,37.50095200538635,37.50095200538635,7.0,7.0,0,1,-0.0,-0.0,1.0,0
benign.pcap,1769177730.0,116.202.233.126,1,3,2,241,161,1,0,1,1,8.996208906173706,8.996208906173706,5.0,5.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177733.0,162.159.200.123,1,1,1,90,90,0,1,1,1,0.02283191680908203,0.02283191680908203,2.0,2.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177736.0,116.202.233.126,1,3,2,241,161,1,0,1,1,8.989601850509644,8.989601850509644,5.0,5.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177736.0,17.57.146.135,1,7,7,1068,600,1,0,1,1,5.298250913619995,5.298250913619995,14.0,14.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177742.0,192.168.1.135,1,1,1,60,78,1,0,1,1,0.037242889404296875,0.037242889404296875,2.0,2.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177748.0,192.168.1.1,1,2,2,284,188,0,1,1,1,0.4597930908203125,0.4597930908203125,4.0,4.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177748.0,192.168.1.77,1,2,3,156,174,1,0,1,1,0.23846006393432617,0.23846006393432617,5.0,5.0,0,2,-0.0,-0.0,2.0,0
benign.pcap,1769177751.0,185.26.182.94,1,3,3,1179,625,1,0,1,1,14.791197061538696,14.791197061538696,6.0,6.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177751.0,192.168.1.1,1,1,0,59,0,0,1,1,1,0.0,0.0,1.0,1.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177754.0,192.168.1.135,1,2,3,161,241,1,0,1,1,8.985781908035278,8.985781908035278,5.0,5.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177757.0,192.168.1.1,1,1,0,245,0,0,1,1,1,0.0,0.0,1.0,1.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177757.0,192.168.1.135,1,1,1,60,78,1,0,1,1,0.024393081665039062,0.024393081665039062,2.0,2.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177760.0,192.168.1.135,1,2,3,161,241,1,0,1,1,8.989385843276978,8.989385843276978,5.0,5.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177763.0,172.64.41.5,1,10,10,5376,5438,0,1,1,1,0.09962892532348633,0.09962892532348633,20.0,20.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177775.0,192.168.1.135,1,0,1,0,54,1,0,1,1,0.0,0.0,1.0,1.0,0,1,-0.0,-0.0,1.0,0
benign.pcap,1769177778.0,17.253.39.142,1,5,4,330,288,1,0,1,1,0.1399829387664795,0.1399829387664795,9.0,9.0,0,2,-0.0,-0.0,2.0,0
benign.pcap,1769177781.0,142.250.74.14,1,18,17,5768,11544,0,1,1,1,0.22732996940612793,0.22732996940612793,35.0,35.0,0,0,-0.0,-0.0,0.0,0
